epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.138,1.89211,3.75969,1.84163,0.45307,0.15425,0.15378,0.06263,1.96871,3.78907,1.89415,0.000300516,0.000300516,0.000300516
2,1865.49,1.8446,3.23841,1.82973,0.38966,0.25832,0.19256,0.07982,1.99582,3.59127,2.07833,0.000591567,0.000591567,0.000591567
3,2949.08,1.84216,3.04047,1.83283,0.5178,0.20532,0.16321,0.06329,2.00975,3.76872,2.02974,0.000870618,0.000870618,0.000870618
4,3747.62,1.82705,2.88932,1.83024,0.37058,0.2344,0.20528,0.0864,1.96659,3.30928,1.91775,0.000855005,0.000855005,0.000855005
5,5143.44,1.79887,2.72079,1.80658,0.45182,0.27586,0.23348,0.10267,1.94813,2.83534,1.89493,0.000837007,0.000837007,0.000837007
6,6396.01,1.7761,2.59661,1.7837,0.48267,0.3325,0.32338,0.15114,1.88357,2.41161,1.82876,0.000819009,0.000819009,0.000819009
7,7278.2,1.74707,2.52986,1.76527,0.36013,0.32802,0.32549,0.15633,1.83107,2.38572,1.82911,0.000801011,0.000801011,0.000801011
8,8099.63,1.72131,2.38427,1.73011,0.56739,0.33499,0.34512,0.16275,1.80563,2.46892,1.82587,0.000783013,0.000783013,0.000783013
9,8861.68,1.69589,2.28743,1.72099,0.65787,0.32133,0.37599,0.17375,1.79678,2.31044,1.77808,0.000765014,0.000765014,0.000765014
10,9627.23,1.65721,2.20481,1.67832,0.38563,0.40424,0.3846,0.18339,1.80041,2.29613,1.79244,0.000747016,0.000747016,0.000747016
11,10397.4,1.63419,2.18234,1.66867,0.6872,0.38466,0.45035,0.20947,1.74633,2.10401,1.75962,0.000729018,0.000729018,0.000729018
12,11174.7,1.61864,2.07129,1.64976,0.51876,0.44508,0.43553,0.21848,1.71619,2.05216,1.76188,0.00071102,0.00071102,0.00071102
13,11949.5,1.6116,2.02245,1.62858,0.48751,0.44418,0.45023,0.21311,1.76404,2.01804,1.72275,0.000693022,0.000693022,0.000693022
14,12727.6,1.57782,1.97908,1.59168,0.52297,0.43142,0.43787,0.21187,1.73983,2.04219,1.71773,0.000675023,0.000675023,0.000675023
15,13491.1,1.55929,1.92508,1.58046,0.55802,0.41666,0.47267,0.23215,1.74531,1.94658,1.72874,0.000657025,0.000657025,0.000657025
16,14268.1,1.57405,1.9326,1.59203,0.55804,0.50629,0.53902,0.26187,1.68868,1.8207,1.66734,0.000639027,0.000639027,0.000639027
17,15167.5,1.53152,1.84042,1.56824,0.56714,0.44563,0.5104,0.25548,1.69334,1.85038,1.70476,0.000621029,0.000621029,0.000621029
18,16455.2,1.52672,1.83478,1.56693,0.59703,0.52203,0.56499,0.29395,1.6096,1.68946,1.60781,0.000603031,0.000603031,0.000603031
19,17737.1,1.51601,1.76719,1.55416,0.75875,0.42672,0.537,0.27095,1.6165,1.69423,1.64061,0.000585032,0.000585032,0.000585032
20,19019.4,1.49771,1.78139,1.53826,0.54975,0.4897,0.51604,0.26887,1.65027,1.80442,1.64515,0.000567034,0.000567034,0.000567034
